"fecha"	"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"2014-08-08"	"07:15:00.0"	"1,028.98"	"123.48"	"1,152.46"	0	0
"2014-08-08"	"07:18:00.0"	"124.11"	"14.89"	139	0	1
"2014-08-08"	"07:46:38.0"	250	0	250	0	0
"2014-08-08"	"07:48:00.0"	"966.76"	"116.01"	"1,082.77"	0	0
"2014-08-08"	"07:53:00.0"	"4,493.74"	"539.25"	"5,032.99"	0	0
"2014-08-08"	"07:57:00.0"	"201.07"	"24.13"	"225.2"	0	0
"2014-08-08"	"08:07:00.0"	"851.76"	"102.21"	"953.97"	0	0
"2014-08-08"	"08:39:00.0"	"1,508.07"	"180.97"	"1,689.04"	0	0
"2014-08-08"	"08:41:00.0"	"613.35"	"73.6"	"686.95"	3	"0.05"
"2014-08-08"	"08:44:00.0"	"71.08"	"8.53"	"79.61"	0	0
"2014-08-08"	"08:47:00.0"	"797.32"	"95.68"	893	0	0
"2014-08-08"	"08:48:00.0"	"539.29"	"64.71"	604	0	0
"2014-08-08"	"08:51:00.0"	"284.6"	"34.15"	"318.75"	0	0
"2014-08-08"	"09:21:00.0"	"106.25"	"12.75"	119	81	0
"2014-08-08"	"09:24:00.0"	"1,178.03"	"141.36"	"1,319.39"	0	0
"2014-08-08"	"09:26:00.0"	"129.46"	"15.54"	145	0	0
"2014-08-08"	"09:26:00.0"	"70.49"	"8.46"	"78.95"	21	"0.05"
"2014-08-08"	"09:29:00.0"	"215.44"	"25.85"	"241.29"	0	0
"2014-08-08"	"09:30:00.0"	"907.77"	"108.93"	"1,016.7"	0	0
"2014-08-08"	"09:35:00.0"	"242.62"	"29.11"	"271.73"	0	0
"2014-08-08"	"09:38:00.0"	"212.5"	"25.5"	238	62	0
"2014-08-08"	"09:41:00.0"	"1,821.42"	"218.57"	"2,039.99"	0	0
"2014-08-08"	"09:42:00.0"	"47.59"	"5.71"	"53.3"	0	"1.7"
"2014-08-08"	"09:47:00.0"	"4,171.31"	"500.56"	"4,671.87"	0	0
"2014-08-08"	"09:48:14.0"	200	0	200	0	0
"2014-08-08"	"09:49:19.0"	200	0	200	0	0
"2014-08-08"	"09:51:00.0"	"2,827.14"	"339.26"	"3,166.4"	0	0
"2014-08-08"	"09:56:00.0"	"1,184.52"	"142.14"	"1,326.66"	0	0
"2014-08-08"	"09:59:00.0"	"129.46"	"15.54"	145	5	0
"2014-08-08"	"10:00:00.0"	"8.36"	1	"9.36"	"0.64"	0
"2014-08-08"	"10:01:00.0"	"338.02"	"40.56"	"378.58"	0	0
"2014-08-08"	"10:03:00.0"	"1,602.68"	"192.32"	"1,795"	0	0
"2014-08-08"	"10:05:00.0"	"59.55"	"7.15"	"66.7"	0	0
"2014-08-08"	"10:07:00.0"	"663.39"	"79.61"	743	0	0
"2014-08-08"	"10:10:00.0"	"508.04"	"60.96"	569	0	0
"2014-08-08"	"10:12:00.0"	"3,619.68"	"434.36"	"4,054.04"	0	0
"2014-08-08"	"10:41:00.0"	"545.44"	"65.45"	"610.89"	38	"1.11"
"2014-08-08"	"10:43:00.0"	"500.9"	"60.11"	"561.01"	"38.99"	0
"2014-08-08"	"10:45:00.0"	"1,442.85"	"173.14"	"1,615.99"	0	0
"2014-08-08"	"10:46:00.0"	"598.66"	"71.84"	"670.5"	0	0
"2014-08-08"	"10:48:00.0"	"290.09"	"34.81"	"324.9"	0	0
"2014-08-08"	"10:50:00.0"	"19,535.72"	"2,344.29"	"21,880.01"	0	0
"2014-08-08"	"10:53:00.0"	"824.11"	"98.89"	923	0	0
"2014-08-08"	"10:54:29.0"	"1,647.32"	"197.68"	"1,845"	0	0
"2014-08-08"	"10:58:00.0"	"624.11"	"74.89"	699	0	0
"2014-08-08"	"11:00:00.0"	"459.82"	"55.18"	515	0	0
"2014-08-08"	"11:02:00.0"	"1,203.84"	"144.46"	"1,348.3"	0	0
"2014-08-08"	"11:14:00.0"	"1,444.1"	"173.29"	"1,617.39"	0	0
"2014-08-08"	"11:18:00.0"	"1,850.89"	"222.11"	"2,073"	0	0
"2014-08-08"	"11:21:00.0"	"3,788.51"	"454.62"	"4,243.13"	0	0
"2014-08-08"	"11:24:00.0"	"1,335.33"	"160.24"	"1,495.57"	0	0
"2014-08-08"	"11:27:00.0"	"923.16"	"110.78"	"1,033.94"	0	0
"2014-08-08"	"11:28:00.0"	"374.11"	"44.89"	419	0	0
"2014-08-08"	"11:29:00.0"	"343.75"	"41.25"	385	15	0
"2014-08-08"	"11:40:00.0"	"5,992.6"	"719.11"	"6,711.71"	0	0
"2014-08-08"	"11:41:00.0"	"8,031.25"	"963.75"	"8,995"	0	0
"2014-08-08"	"11:42:00.0"	"275.89"	"33.11"	309	0	0
"2014-08-08"	"11:43:00.0"	"114.2"	"13.7"	"127.9"	22	"0.1"
"2014-08-08"	"11:44:00.0"	"31.25"	"3.75"	35	15	0
"2014-08-08"	"11:45:00.0"	"222.18"	"26.66"	"248.84"	50	"1.16"
"2014-08-08"	"11:46:00.0"	"640.45"	"76.85"	"717.3"	0	0
"2014-08-08"	"13:44:50.0"	500	0	500	0	0
"2014-08-08"	"13:50:00.0"	222	"26.64"	"248.64"	"1.36"	0
"2014-08-08"	"14:31:00.0"	"15,419.65"	"1,850.36"	"17,270.01"	0	0
