"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"13:31:00.0"	"35.09"	"4.21"	"39.3"	0	"0.7"
"13:37:00.0"	"1,619.19"	"194.3"	"1,813.49"	0	0
"13:40:00.0"	"80.31"	"9.64"	"89.95"	0	0
"13:40:00.0"	"85.09"	"10.21"	"95.3"	4	"0.7"
"13:42:00.0"	"408.92"	"49.07"	"457.99"	42	"0.01"
"13:42:00.0"	"24.1"	"2.89"	"26.99"	3	"0.01"
"13:45:00.0"	"629.02"	"75.48"	"704.5"	15	"0.5"
"13:47:00.0"	"2,096.8"	"251.62"	"2,348.42"	0	0
"13:51:57.0"	400	0	400	0	0
"13:57:00.0"	"1,717.98"	"206.16"	"1,924.14"	0	0
"13:57:52.0"	0	0	0	0	0
"14:08:43.0"	400	0	400	0	0
"14:11:00.0"	"630.36"	"75.64"	706	0	0
"14:12:00.0"	"219.94"	"26.39"	"246.33"	3	"0.67"
"14:14:00.0"	"258.92"	"31.07"	"289.99"	0	0
"14:20:00.0"	"738.39"	"88.61"	827	0	0
"14:22:00.0"	"635.67"	"76.28"	"711.95"	0	0
"14:24:45.0"	100	0	100	0	0
"14:29:00.0"	"640.18"	"76.82"	717	83	0
"14:32:00.0"	"1,069.65"	"128.36"	"1,198.01"	0	0
"14:33:00.0"	"5,437.44"	"652.49"	"6,089.93"	0	0
"14:41:00.0"	"1,922.08"	"230.65"	"2,152.73"	0	0
"14:44:00.0"	"2,955.21"	"354.63"	"3,309.84"	90	"0.16"
"14:46:00.0"	"975.39"	"117.05"	"1,092.44"	7	"0.56"
"14:49:00.0"	"1,250.57"	"150.07"	"1,400.64"	0	0
"14:50:00.0"	"61.6"	"7.39"	"68.99"	1	"0.01"
"14:52:00.0"	"253.84"	"30.46"	"284.3"	15	"0.7"
"14:53:00.0"	"1,203.57"	"144.43"	"1,348"	2	0
"14:54:00.0"	"80.31"	"9.64"	"89.95"	10	"0.05"
"14:56:00.0"	"1,516.08"	"181.93"	"1,698.01"	0	0
"15:01:00.0"	"575.11"	"69.01"	"644.12"	0	0
"15:02:00.0"	"101.23"	"12.15"	"113.38"	0	0
"15:04:00.0"	"520.54"	"62.46"	583	0	0
"15:05:00.0"	"740.8"	"88.9"	"829.7"	0	"0.3"
"15:09:00.0"	"1,099.02"	"131.88"	"1,230.9"	0	0
"15:09:33.0"	100	0	100	0	0
"15:12:00.0"	"205.63"	"24.68"	"230.31"	0	0
"15:13:12.0"	200	0	200	0	0
"15:16:00.0"	"1,398.76"	"167.85"	"1,566.61"	33	"0.39"
"15:17:00.0"	"332.94"	"39.95"	"372.89"	27	"0.11"
"15:18:00.0"	"390.18"	"46.82"	437	0	0
"15:21:00.0"	"11,366.05"	"1,363.93"	"12,729.98"	0	"0.02"
"15:23:00.0"	"122.57"	"14.71"	"137.28"	0	0
"15:25:00.0"	"371.24"	"44.55"	"415.79"	0	0
"15:27:00.0"	"1,061.18"	"127.34"	"1,188.52"	0	0
"15:29:00.0"	"1,024.11"	"122.89"	"1,147"	0	0
"15:31:00.0"	"115.18"	"13.82"	129	0	0
"15:31:55.0"	0	0	0	129	0
"15:36:00.0"	"133.04"	"15.96"	149	51	0
"15:37:00.0"	"876.3"	"105.16"	"981.46"	20	"0.54"
"15:40:00.0"	"610.71"	"73.29"	684	0	0
"15:41:00.0"	"337.5"	"40.5"	378	2	0
"15:42:00.0"	"44.4"	"5.33"	"49.73"	0	"0.27"
"15:44:00.0"	"1,125.12"	"135.01"	"1,260.13"	40	0
"15:46:00.0"	"355.36"	"42.64"	398	0	0
"15:50:00.0"	"875.26"	"105.03"	"980.29"	0	0
"15:51:00.0"	"205.98"	"24.72"	"230.7"	10	"1.3"
"15:54:00.0"	"57.1"	"6.85"	"63.95"	0	0
"15:54:18.0"	0	0	0	0	0
"15:54:53.0"	100	0	100	0	0
"15:55:37.0"	100	0	100	0	0
"15:58:00.0"	"2,717.86"	"326.14"	"3,044"	0	0
"16:00:00.0"	"332.5"	"39.9"	"372.4"	0	0
"18:11:00.0"	"567.84"	"68.14"	"635.98"	14	"0.02"
"18:11:22.0"	260	0	260	0	0
"18:13:00.0"	"980.53"	"117.66"	"1,098.19"	1	"0.81"
"18:15:00.0"	"3,293.28"	"395.19"	"3,688.47"	0	0
"18:16:00.0"	"1,870.54"	"224.46"	"2,095"	0	0
"18:18:00.0"	"449.38"	"53.93"	"503.31"	0	0
"18:20:00.0"	"169.6"	"20.35"	"189.95"	10	"0.05"
"18:20:51.0"	50	0	50	0	0
"18:23:00.0"	"74.02"	"8.88"	"82.9"	17	"0.1"
"18:27:00.0"	"40.58"	"4.87"	"45.45"	54	"0.55"
"18:27:00.0"	"40.58"	"4.87"	"45.45"	54	"0.55"
"18:27:48.0"	"129.46"	"15.54"	145	0	0
"18:29:00.0"	"245.54"	"29.46"	275	0	0
"18:31:00.0"	"150.89"	"18.11"	169	31	0
"18:34:00.0"	"4,102.68"	"492.32"	"4,595"	5	0
"18:37:00.0"	"5,396.41"	"647.57"	"6,043.98"	0	0
"18:38:00.0"	"3,679.31"	"441.52"	"4,120.83"	0	0
"18:41:00.0"	"3,008.93"	"361.07"	"3,370"	30	0
"18:45:00.0"	"1,598.2"	"191.78"	"1,789.98"	0	0
"18:50:00.0"	"8,270.2"	"992.42"	"9,262.62"	0	0
"18:51:00.0"	"818.75"	"98.25"	917	0	0
"18:51:46.0"	"1,173.6"	"140.83"	"1,314.43"	0	0
"18:53:40.0"	"692.21"	"83.07"	"775.28"	0	0
"18:57:00.0"	"1,099.26"	"131.91"	"1,231.17"	0	0
"19:00:00.0"	"937.35"	"112.48"	"1,049.83"	0	0
"19:06:00.0"	"4,487.54"	"538.5"	"5,026.04"	0	0
"19:11:00.0"	"1,652.96"	"198.36"	"1,851.32"	0	0
"19:13:00.0"	"2,387.35"	"286.48"	"2,673.83"	0	"1.17"
"19:14:00.0"	"416.96"	"50.04"	467	0	0
"19:19:00.0"	"13,381.14"	"1,605.74"	"14,986.88"	0	0
"19:20:00.0"	"1,691.96"	"203.04"	"1,895"	0	0
"19:21:00.0"	"1,827.94"	"219.35"	"2,047.29"	0	0
"19:25:00.0"	"3,558.66"	"427.04"	"3,985.7"	0	0
"19:25:16.0"	100	0	100	0	0
"19:27:00.0"	"348.21"	"41.79"	390	0	0
"19:29:00.0"	"92.19"	"11.06"	"103.25"	0	0
"19:31:00.0"	"741.97"	"89.04"	"831.01"	0	0
"19:33:00.0"	"1,132.41"	"135.89"	"1,268.3"	0	0
"19:36:00.0"	"138.39"	"16.61"	155	0	0
"19:39:00.0"	"1,579.34"	"189.52"	"1,768.86"	0	0
"19:46:00.0"	"799.11"	"95.89"	895	0	0
"19:47:00.0"	"1,322.34"	"158.68"	"1,481.02"	0	0
"20:03:00.0"	"582.14"	"69.86"	652	0	0
"20:07:00.0"	"3,383.03"	"405.96"	"3,788.99"	0	0
"20:09:00.0"	"1,882.01"	"225.84"	"2,107.85"	0	0
"20:11:00.0"	"1,870.54"	"224.46"	"2,095"	0	0
"20:12:00.0"	"1,238.08"	"148.57"	"1,386.65"	0	0
"20:14:00.0"	"417.38"	"46.57"	"463.95"	0	0
"20:20:00.0"	"514.22"	"61.71"	"575.93"	0	0
