"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"07:15:00.0"	"110.98"	"13.32"	"124.3"	75	"0.7"
"07:19:00.0"	"2,381.54"	"285.78"	"2,667.32"	0	0
"07:21:00.0"	"1,116.32"	"133.96"	"1,250.28"	0	"0.72"
"07:23:00.0"	"230.36"	"27.64"	258	42	0
"07:23:43.0"	150	0	150	0	0
"07:25:00.0"	"808.92"	"97.07"	"905.99"	94	"0.01"
"07:26:53.0"	50	0	50	0	0
"07:28:00.0"	"202.68"	"24.32"	227	0	0
"08:10:00.0"	"1,910.72"	"229.29"	"2,140.01"	0	0
"08:13:00.0"	"821.44"	"98.57"	"920.01"	"79.99"	0
"08:19:00.0"	"194.64"	"23.36"	218	32	0
"08:21:00.0"	"989.28"	"118.71"	"1,107.99"	0	"0.01"
"08:25:00.0"	"1,239.28"	"148.71"	"1,387.99"	12	"0.01"
"08:28:00.0"	"272.32"	"32.68"	305	0	0
"08:48:00.0"	"36.12"	"4.33"	"40.45"	"10.05"	0
"08:50:00.0"	"129.84"	"15.58"	"145.42"	0	"0.58"
"08:52:00.0"	"1,850.82"	"222.1"	"2,072.92"	0	"0.08"
"08:54:00.0"	"133.04"	"15.96"	149	0	0
"08:55:00.0"	"148.76"	"17.85"	"166.61"	33	"0.39"
"08:57:00.0"	"1,298.22"	"155.79"	"1,454.01"	45	"0.99"
"09:01:00.0"	"973.16"	"116.78"	"1,089.94"	0	"0.06"
"09:03:00.0"	"411.42"	"49.37"	"460.79"	0	0
"09:06:00.0"	"129.46"	"15.54"	145	5	0
"09:13:00.0"	"521.16"	"62.54"	"583.7"	0	0
"09:23:00.0"	"2,129.44"	"255.53"	"2,384.97"	0	"0.03"
"09:23:37.0"	0	0	0	0	0
"09:24:11.0"	0	0	0	0	0
"09:26:00.0"	"4,742.89"	"569.15"	"5,312.04"	0	"0.96"
"09:28:00.0"	"1,980.61"	"237.67"	"2,218.28"	1	"0.72"
"09:30:00.0"	"3,319.58"	"398.35"	"3,717.93"	0	0
"09:31:42.0"	"955.36"	"114.64"	"1,070"	0	0
"09:34:00.0"	"145.46"	"17.46"	"162.92"	37	"0.08"
"09:38:00.0"	"1,163.4"	"139.61"	"1,303.01"	0	0
