"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"09:42:00.0"	"3,089.48"	"370.74"	"3,460.22"	0	0
"09:44:00.0"	"582.15"	"69.86"	"652.01"	0	0
"09:46:00.0"	"466.69"	56	"522.69"	0	0
"09:47:00.0"	"229.46"	"27.54"	257	0	0
"09:48:14.0"	0	0	0	0	0
"09:48:29.0"	200	0	200	0	0
"09:51:00.0"	"491.07"	"58.93"	550	0	0
"09:53:00.0"	"853.32"	"102.4"	"955.72"	44	"0.28"
"09:53:48.0"	"231.25"	"27.75"	259	0	0
"09:55:00.0"	"150.89"	"18.11"	169	0	0
"09:56:00.0"	"235.08"	"28.21"	"263.29"	36	"0.71"
"09:58:00.0"	"231.25"	"27.75"	259	40	1
"10:00:00.0"	"2,300.89"	"276.11"	"2,577"	0	0
"10:04:00.0"	"4,192.66"	"503.12"	"4,695.78"	0	"0.22"
"10:10:00.0"	"5,888.65"	"706.64"	"6,595.29"	0	"0.71"
"10:12:00.0"	"375.25"	"45.03"	"420.28"	0	"0.72"
"10:15:00.0"	"302.95"	"36.35"	"339.3"	0	"0.7"
"10:17:00.0"	"270.54"	"32.46"	303	0	0
"10:19:00.0"	"2,308.31"	277	"2,585.31"	14	"0.69"
"10:21:00.0"	"2,684.83"	"322.18"	"3,007.01"	0	0
"10:24:00.0"	"341.52"	"40.98"	"382.5"	20	0
"10:30:00.0"	"1,545.44"	"185.45"	"1,730.89"	0	"0.11"
"10:33:00.0"	"1,422.05"	"170.65"	"1,592.7"	0	0
"10:35:00.0"	"190.75"	"22.89"	"213.64"	0	0
"10:37:00.0"	"87.97"	"10.56"	"98.53"	0	0
"10:39:00.0"	"475.53"	"57.06"	"532.59"	0	0
"10:44:00.0"	"14,826.03"	"1,779.12"	"16,605.15"	0	0
"10:44:00.0"	"203.84"	"24.46"	"228.3"	0	0
"10:44:00.0"	"14,622.19"	"1,754.66"	"16,376.85"	0	0
"11:04:00.0"	"404.46"	"48.54"	453	0	1
"11:06:00.0"	"818.75"	"98.25"	917	3	0
"11:09:00.0"	"395.09"	"47.41"	"442.5"	0	"0.5"
"11:12:00.0"	"466.2"	"55.94"	"522.14"	0	0
"11:13:00.0"	"98.96"	"11.88"	"110.84"	0	"0.16"
"11:16:00.0"	"255.36"	"30.64"	286	0	0
"11:19:00.0"	"1,059.37"	"127.12"	"1,186.49"	0	0
"11:20:00.0"	"66.52"	"7.98"	"74.5"	25	"0.5"
"11:22:00.0"	"1,092.86"	"131.14"	"1,224"	0	0
"11:23:33.0"	100	0	100	0	0
"11:24:22.0"	100	0	100	0	0
"11:29:00.0"	"5,500.84"	"660.1"	"6,160.94"	0	0
"11:30:00.0"	"230.62"	"27.67"	"258.29"	41	"0.71"
"13:25:32.0"	0	0	0	0	0
"13:29:00.0"	"2,322.99"	"278.76"	"2,601.75"	0	"0.25"
"13:36:00.0"	"1,513.39"	"181.61"	"1,695"	0	0
"13:38:00.0"	"538.6"	"64.63"	"603.23"	0	0
"13:40:00.0"	"241.92"	"29.03"	"270.95"	0	"0.05"
"13:42:00.0"	"816.53"	"97.98"	"914.51"	0	"0.49"
"13:45:00.0"	"97.32"	"11.68"	109	1	0
"13:46:00.0"	"802.69"	"96.32"	"899.01"	0	"0.99"
"13:56:00.0"	"8,670.39"	"1,040.45"	"9,710.84"	0	"0.16"
"14:09:00.0"	"894.96"	"107.4"	"1,002.36"	0	0
"14:10:00.0"	"515.18"	"61.82"	577	23	0
"14:19:00.0"	"226.32"	"27.16"	"253.48"	46	"0.52"
