"fecha"	"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"2014-08-04"	"07:28:00.0"	"3,152"	"378.24"	"3,530.24"	0	0
"2014-08-04"	"07:30:00.0"	"245.54"	"29.46"	275	0	0
"2014-08-04"	"07:31:00.0"	"404.46"	"48.54"	453	47	0
"2014-08-04"	"08:00:00.0"	"410.72"	"49.29"	"460.01"	"39.99"	0
"2014-08-04"	"08:04:00.0"	"152.31"	"18.28"	"170.59"	0	0
"2014-08-04"	"08:04:38.0"	200	0	200	0	0
"2014-08-04"	"08:13:00.0"	"919.64"	"110.36"	"1,030"	0	0
"2014-08-04"	"08:20:00.0"	"104.46"	"12.54"	117	3	0
"2014-08-04"	"08:21:16.0"	"329.46"	"39.54"	369	0	0
"2014-08-04"	"08:24:00.0"	"329.46"	"39.54"	369	11	0
"2014-08-04"	"08:27:00.0"	"379.5"	"45.54"	"425.04"	0	0
"2014-08-04"	"08:29:00.0"	"921.96"	"110.64"	"1,032.6"	67	"0.4"
"2014-08-04"	"08:32:00.0"	"2,145.72"	"257.49"	"2,403.21"	0	0
"2014-08-04"	"08:40:00.0"	"459.82"	"55.18"	515	0	0
"2014-08-04"	"08:44:00.0"	"3,020.8"	"348.43"	"3,369.23"	0	0
"2014-08-04"	"08:48:00.0"	"1,312.5"	"157.5"	"1,470"	30	0
"2014-08-04"	"08:53:00.0"	"415.62"	"49.87"	"465.49"	0	0
"2014-08-04"	"08:56:00.0"	"841.03"	"100.92"	"941.95"	10	"0.05"
"2014-08-04"	"09:01:00.0"	"63.72"	"7.65"	"71.37"	0	0
"2014-08-04"	"09:02:00.0"	"1,638.2"	"196.58"	"1,834.78"	0	0
"2014-08-04"	"09:04:00.0"	"476.78"	"57.21"	"533.99"	6	"0.01"
"2014-08-04"	"09:04:50.0"	"150.4"	"18.05"	"168.45"	0	0
"2014-08-04"	"09:30:00.0"	"533.92"	"64.07"	"597.99"	0	0
"2014-08-04"	"09:37:00.0"	"3,045.5"	"365.46"	"3,410.96"	0	"0.04"
"2014-08-04"	"09:40:00.0"	"595.89"	"71.51"	"667.4"	32	"0.6"
"2014-08-04"	"09:41:44.0"	"150.4"	"18.05"	"168.45"	0	0
"2014-08-04"	"09:42:00.0"	"32.41"	"3.89"	"36.3"	63	"0.7"
"2014-08-04"	"09:45:00.0"	"150.4"	"18.05"	"168.45"	0	0
"2014-08-04"	"09:47:00.0"	"283.04"	"33.96"	317	0	0
"2014-08-04"	"09:48:00.0"	"71.08"	"8.53"	"79.61"	20	"0.39"
"2014-08-04"	"09:50:00.0"	"551.99"	"66.24"	"618.23"	0	0
"2014-08-04"	"09:53:00.0"	"735.81"	"88.3"	"824.11"	0	"0.89"
"2014-08-04"	"09:58:00.0"	"3,931.82"	"471.82"	"4,403.64"	0	"1.36"
"2014-08-04"	"10:01:00.0"	"120.21"	"14.43"	"134.64"	0	"0.36"
"2014-08-04"	"10:01:29.0"	"854.46"	"102.54"	957	0	0
"2014-08-04"	"10:05:00.0"	"929.01"	"111.48"	"1,040.49"	0	0
"2014-08-04"	"10:07:00.0"	"1,188.14"	"142.58"	"1,330.72"	0	0
"2014-08-04"	"10:09:00.0"	"772.32"	"92.68"	865	0	0
"2014-08-04"	"10:10:00.0"	"837.97"	"100.56"	"938.53"	0	0
"2014-08-04"	"10:12:00.0"	"129.46"	"15.54"	145	0	0
"2014-08-04"	"10:13:00.0"	"663.39"	"79.61"	743	0	0
"2014-08-04"	"10:14:00.0"	"33.04"	"3.96"	37	13	0
