"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"07:22:52.0"	0	0	0	0	0
"07:46:00.0"	"459.82"	"55.18"	515	0	0
"07:48:00.0"	"1,336.02"	"160.32"	"1,496.34"	0	0
"07:48:38.0"	"904.47"	"108.54"	"1,013.01"	0	0
"07:51:00.0"	"8.88"	"1.07"	"9.95"	10	"0.05"
"07:53:00.0"	"1,909.61"	"229.15"	"2,138.76"	0	0
"07:55:00.0"	"97.32"	"11.68"	109	0	0
"07:56:00.0"	"904.47"	"108.54"	"1,013.01"	0	0
"07:57:00.0"	"25.85"	"3.1"	"28.95"	"21.05"	0
"08:03:00.0"	"2,363.13"	"283.58"	"2,646.71"	0	0
"08:05:00.0"	"466.92"	"56.03"	"522.95"	0	0
"08:08:00.0"	"4,442.46"	"533.1"	"4,975.56"	0	0
"08:11:00.0"	"546.52"	"65.58"	"612.1"	0	0
"08:13:00.0"	"2,025.88"	"243.11"	"2,268.99"	0	0
"08:21:00.0"	"517.04"	"62.04"	"579.08"	0	0
"08:44:00.0"	"900.73"	"108.09"	"1,008.82"	0	0
"08:45:00.0"	"80.31"	"9.64"	"89.95"	10	"0.05"
"08:46:00.0"	"266.96"	"32.04"	299	0	1
"08:47:00.0"	"175.89"	"21.11"	197	0	0
"08:48:06.0"	"2,245.9"	"269.51"	"2,515.41"	0	0
"08:49:52.0"	"16.94"	"2.03"	"18.97"	0	0
"08:52:00.0"	"2,343.16"	"281.18"	"2,624.34"	0	0
"08:53:00.0"	"78.3"	"9.4"	"87.7"	12	"0.3"
"08:53:00.0"	"88.04"	"10.56"	"98.6"	1	"0.4"
"08:54:00.0"	"229.46"	"27.54"	257	0	0
"08:55:27.0"	100	0	100	0	0
"08:58:00.0"	"730.78"	"87.69"	"818.47"	0	0
"08:59:00.0"	"115.62"	"13.87"	"129.49"	20	"0.51"
"09:01:00.0"	"320.85"	"38.5"	"359.35"	0	"0.65"
"09:04:00.0"	"299.11"	"35.89"	335	0	0
"09:08:00.0"	"7,421.95"	"890.63"	"8,312.58"	0	0
"09:09:00.0"	"533.04"	"63.96"	597	0	0
"09:11:00.0"	"1,862.5"	"223.5"	"2,086"	0	0
"09:12:23.0"	100	0	100	0	0
"09:13:00.0"	"797.66"	"95.72"	"893.38"	0	0
"09:17:00.0"	"2,033.64"	"244.04"	"2,277.68"	5	0
"09:20:00.0"	"271.84"	"32.62"	"304.46"	0	0
"09:21:00.0"	"1,862.5"	"223.5"	"2,086"	0	0
"09:23:00.0"	"2,458.93"	"295.07"	"2,754"	0	0
"09:26:00.0"	"3,388.39"	"406.61"	"3,795"	5	0
"09:29:00.0"	"326.78"	"39.21"	"365.99"	0	0
"09:30:00.0"	"695.7"	"83.48"	"779.18"	"20.82"	0
"09:32:00.0"	"543.24"	"65.19"	"608.43"	0	0
"09:34:00.0"	"1,025.97"	"123.12"	"1,149.09"	0	"0.91"
"09:36:00.0"	"137.76"	"16.53"	"154.29"	5	"0.71"
"09:37:00.0"	"1,377.34"	"165.28"	"1,542.62"	0	0
"09:39:00.0"	"438.62"	"52.63"	"491.25"	0	0
"09:42:00.0"	"716.96"	"86.04"	803	5	2
"09:44:00.0"	"1,159.82"	"139.18"	"1,299"	0	0
"09:45:00.0"	"933.74"	"112.05"	"1,045.79"	4	"0.21"
"09:46:00.0"	"68.4"	"8.21"	"76.61"	0	"3.39"
"09:48:00.0"	"2,081.17"	"249.74"	"2,330.91"	0	0
"09:50:00.0"	"1,702.21"	"204.27"	"1,906.48"	0	0
"09:53:00.0"	"1,931.97"	"231.84"	"2,163.81"	0	0
"09:54:00.0"	"213.84"	"25.66"	"239.5"	10	"0.5"
"09:56:00.0"	"718.76"	"86.25"	"805.01"	"4.99"	0
"09:58:00.0"	"1,544.64"	"185.36"	"1,730"	0	0
"10:00:00.0"	"1,385.71"	"166.29"	"1,552"	0	0
