"hora"	"total_base"	"total_impuesto"	"total_transaccion"	"vuelto"	"donacion"
"10:00:00.0"	"263.39"	"31.61"	295	5	0
"10:03:00.0"	"6,553.13"	"786.38"	"7,339.51"	0	0
"10:04:00.0"	"883.03"	"105.96"	"988.99"	10	"1.01"
"10:07:00.0"	"77.55"	"9.31"	"86.86"	12	"1.14"
"10:09:00.0"	"275.89"	"33.11"	309	0	0
"10:11:00.0"	"438.15"	"52.58"	"490.73"	0	0
"10:12:00.0"	"404.46"	"48.54"	453	0	0
"10:14:00.0"	"321.16"	"38.54"	"359.7"	0	0
"10:16:00.0"	"1,443.75"	"173.25"	"1,617"	32	1
"10:17:00.0"	"1,474.11"	"176.89"	"1,651"	0	0
"10:20:00.0"	"4,169.64"	"500.36"	"4,670"	0	0
"10:25:00.0"	"1,424.98"	171	"1,595.98"	0	0
"10:26:26.0"	500	0	500	0	0
"10:29:00.0"	"704.46"	"84.54"	789	10	1
"10:30:01.0"	100	0	100	0	0
"10:30:28.0"	0	0	0	0	0
"10:30:40.0"	280	0	280	0	0
"10:35:00.0"	"2,250.41"	"270.05"	"2,520.46"	0	0
"10:37:00.0"	"4,851.54"	"582.18"	"5,433.72"	0	0
"10:42:00.0"	"10,687.02"	"1,282.44"	"11,969.46"	"30.54"	0
"10:45:00.0"	444	"53.28"	"497.28"	"2.72"	0
"10:47:00.0"	"2,400.44"	"288.05"	"2,688.49"	0	0
"10:49:00.0"	"2,209.82"	"265.18"	"2,475"	0	0
"10:50:00.0"	"261.42"	"31.37"	"292.79"	0	0
"10:52:00.0"	686	"82.32"	"768.32"	0	0
"11:01:00.0"	"314.83"	"37.78"	"352.61"	7	"0.39"
"11:03:00.0"	"477.67"	"57.32"	"534.99"	0	0
"11:04:04.0"	"850.89"	"98.59"	"949.48"	0	0
"11:08:00.0"	"891.5"	"106.98"	"998.48"	0	0
"11:09:00.0"	"850.89"	"98.59"	"949.48"	0	0
"11:11:00.0"	"1,153.69"	"138.44"	"1,292.13"	7	"0.87"
"11:12:00.0"	"8.13"	"0.98"	"9.11"	0	"0.89"
"11:13:00.0"	"3,107.6"	"372.91"	"3,480.51"	"19.49"	0
"11:15:00.0"	"752.64"	"90.32"	"842.96"	7	"0.04"
"11:17:00.0"	"1,772.27"	"212.67"	"1,984.94"	0	0
"11:21:00.0"	"3,880.09"	"465.61"	"4,345.7"	0	0
"11:22:00.0"	"1,838.39"	"220.61"	"2,059"	0	0
"11:23:00.0"	"223.22"	"26.79"	"250.01"	0	0
"11:24:00.0"	"601.07"	"72.13"	"673.2"	0	0
"11:26:00.0"	"455.36"	"54.64"	510	0	0
"11:27:00.0"	"64.55"	"7.75"	"72.3"	0	0
"11:29:07.0"	284	0	284	0	0
"11:30:01.0"	0	0	0	0	0
"11:30:26.0"	100	0	100	0	0
"11:30:55.0"	100	0	100	0	0
"11:31:30.0"	100	0	100	0	0
"11:32:00.0"	"882.99"	"105.96"	"988.95"	10	"1.05"
"11:35:00.0"	"2,144.52"	"257.34"	"2,401.86"	"0.14"	0
"11:37:00.0"	"2,314.27"	"277.71"	"2,591.98"	0	0
"11:40:00.0"	"1,504.34"	"180.52"	"1,684.86"	0	0
"11:42:00.0"	"999.96"	120	"1,119.96"	"30.04"	0
"11:47:00.0"	"8,598.95"	"1,031.87"	"9,630.82"	0	0
"11:47:00.0"	"6,067.57"	"728.11"	"6,795.68"	0	0
"11:47:00.0"	"2,531.38"	"303.77"	"2,835.15"	0	0
"11:48:00.0"	"93.67"	"11.24"	"104.91"	45	"0.09"
"11:50:00.0"	"1,401.79"	"168.21"	"1,570"	30	0
"11:51:00.0"	"133.04"	"15.96"	149	50	1
"11:53:00.0"	"300.05"	"28.33"	"328.38"	0	0
"11:54:00.0"	"883.94"	"106.07"	"990.01"	0	0
"11:56:00.0"	"1,833.69"	"220.04"	"2,053.73"	0	0
"11:57:00.0"	"106.25"	"12.75"	119	31	0
"11:58:17.0"	100	0	100	0	0
"12:01:00.0"	"4,748.73"	"569.85"	"5,318.58"	0	0
"12:03:00.0"	"253.84"	"30.46"	"284.3"	0	0
"12:04:00.0"	"105.68"	"12.68"	"118.36"	30	"1.64"
"12:05:00.0"	"255.36"	"30.64"	286	4	0
"12:06:00.0"	"239.4"	"28.73"	"268.13"	30	"1.87"
"12:08:00.0"	"741.7"	89	"830.7"	0	0
"12:09:00.0"	"613.85"	"73.66"	"687.51"	0	0
"12:10:00.0"	"191.52"	"22.98"	"214.5"	35	"0.5"
"12:14:00.0"	"3,419.64"	"410.36"	"3,830"	0	0
"13:21:00.0"	"2,911.77"	"349.41"	"3,261.18"	7	"1.82"
"13:23:00.0"	"1,966.88"	"236.03"	"2,202.91"	0	0
"13:26:00.0"	"2,025.11"	"240.07"	"2,265.18"	0	0
"13:27:00.0"	"887.46"	"106.5"	"993.96"	0	0
"13:31:00.0"	"834.06"	"100.09"	"934.15"	0	0
"13:32:00.0"	"3,897.32"	"467.68"	"4,365"	0	0
"13:41:00.0"	"746.76"	"89.61"	"836.37"	0	0
"13:42:08.0"	"129.46"	"15.54"	145	0	0
"13:45:00.0"	"1,377.34"	"165.28"	"1,542.62"	57	"0.38"
"13:46:10.0"	"129.46"	"15.54"	145	0	0
"13:46:52.0"	0	0	0	0	0
"13:49:00.0"	"6,391.49"	"766.98"	"7,158.47"	0	0
"13:50:33.0"	500	0	500	0	0
"13:58:00.0"	"2,150.88"	"258.11"	"2,408.99"	0	0
"14:08:00.0"	"8,141.78"	"977.01"	"9,118.79"	"3.97"	0
"14:18:00.0"	"863.39"	"103.61"	967	0	0
"14:20:00.0"	"510.63"	"61.28"	"571.91"	0	0
"14:21:00.0"	"179.02"	"21.48"	"200.5"	0	0
"14:23:00.0"	"2,274.49"	"272.94"	"2,547.43"	0	0
